結局線,吉祥物,象徵,說明,人格標語
成癮,小黃計程車.png,一直接單、停不下來。,被手機與演算法吸住，明知該停卻停不下來。,"「你不是想滑手機，只是不想停下來。」
「再看一下下，時間卻整晚消失。」
「深夜的你，其實早就累了。」
「你滑的不是影片，是逃避現實的方法。」"
低迷循環線,阪堺電車.png,反覆繞圈的日常。,習慣用滑手機填補空虛，卻始終找不到出口。,"「你困住的不是時間，而是自己。」
「每天都一樣，卻不知道該去哪裡。」
「滑動沒有終點，疲憊也沒有。」
「你不是懶惰，只是卡在低潮裡。」"
數據黑洞線,黑洞計程車.png,被資訊吞噬。,演算法不斷推薦內容，讓你失去時間感。,"「再滑一下，卻不知過了多久。」
「你以為在看世界，其實世界在看你。」
「時間被偷走時，總是毫無聲息。」
「你掉進的不是手機，是黑洞。」"
比較,高鐵.png,永遠想追上別人。,習慣透過比較確認自己的價值。,"「你不是落後，只是一直回頭看別人。」
「比較沒有終點站。」
「你看見別人的成功，卻忘了自己的努力。」
「總有人更快，但那不代表你很慢。」"
全方競爭線,戰鬥機.png,高壓競爭。,在各方面都想贏，害怕被超越。,"「你把人生過成了一場競賽。」
「停下來休息，也不算輸。」
「你害怕的不是失敗，而是落後。」
「飛得很高的人，也會累。」"
流量焦慮線,新自強號.png,追逐關注。,在意觀看數與流量表現。,"「被看見，成了你的安全感。」
「數字越高，快樂卻不一定越多。」
「你害怕的其實是被遺忘。」
「流量來得快，焦慮也來得快。」"
視覺競賽線,噴射機.png,活在被觀看之中。,習慣透過外在表現與他人比較。,"「你總想成為最耀眼的那個人。」
「別人的人生像濾鏡，你的也是。」
「比較久了，會忘記自己原本的樣子。」
「你在追求完美，也在消耗自己。」"
外貌,台鐵.png,害怕跟不上潮流。,總覺得自己不夠好看。,"「你在意的從來不只是外貌。」
「鏡子裡的你，比你想像得更好。」
「不是每個人都在看你。」
「你不需要成為別人的樣子。」"
完美公開線,保母車.png,維持完美人設。,希望所有人都看見最好的一面。,"「你保護的不只是形象。」
「完美久了，也會累。」
「真實的你其實值得被喜歡。」
「沒有人能一直維持最佳狀態。」"
虛擬完美線,任意門.png,理想化自我。,在虛擬世界打造更完美的自己。,"「你修飾的不只是照片。」
「理想的自己，未必是真實的自己。」
「你想被喜歡，所以不敢出錯。」
「濾鏡遮住了焦慮，也遮住了自己。」"
虛擬面具線,遊艇.png,光鮮亮麗的假象。,表面平靜，內心卻充滿不安。,"「你展示的是生活，不是人生。」
「風平浪靜只是看起來如此。」
「沒有人永遠光鮮亮麗。」
「你不必一直假裝沒事。」"
社交,子彈列車.png,高速社交。,認識很多人，卻很難真正靠近。,"「熱鬧不一定代表陪伴。」
「你害怕的其實是孤單。」
「擦肩而過的人很多。」
「真正的關係不需要追趕。」"
制約快感線,台中電車.png,被通知控制情緒。,回覆與按讚成為快樂來源。,"「通知聲成了你的期待。」
「你等待的不只是訊息。」
「快樂開始被數字決定。」
「世界不會因為已讀不回而停止。」"
社群表演線,阿里山火車.png,努力被看見。,渴望獲得認同與關注。,"「你一直努力發光。」
「被看見成了你的願望。」
「掌聲很重要，但不是全部。」
「你本來就值得被喜歡。」"
飛天熱狗線,一根有雞翅的熱狗.png,,拒絕在慾望賽道內耗，用幽默感解構世界的荒謬。,"「生活很難，但躺平很簡單。」
「要不要來跟熱狗？或許再一隻雞翅，兩隻好了。」
「心情真糟，嘿我口袋裡有五塊！」"
夯爆熱狗線,一根漂亮的熱狗.png,,在意外貌但拒絕被綁架，以玩世不恭的姿態定義個人審美。,"「生活很難，但躺平很簡單。」
「要不要來跟熱狗？或許再一隻雞翅，兩隻好了。」
「心情真糟，嘿我口袋裡有五塊！」"
荒誕劇場線,一根也能好好的熱狗。.png,,生活破破爛爛，熱狗縫縫補補。,"「這樣很醜嗎？可是我很好看。」
「這不好吃嗎？可是我很好看。」
「你不喜歡嗎？可是我很好看。」
「今天很糟嗎？可是我很好看。」"
迷因爆米花線,愛看螢幕的熱狗。.png,,很會接哏，什麼迷因都看過。,"「戲份很多沒關係，反正我只負責看戲。」
「你把我惹毛了我就毛茸茸的走開。」
「狼若回頭，不是報恩就是報仇。我若回頭，不是迷路就是過頭。」"
乾杯知己線,兩根快樂的熱狗.png,,一見如故的熱狗。,"「自然有人知道我在說什麼。」
「找呀找呀找朋友，找到一根好熱狗。」
「啊哈哈哈我們是好朋友。」"
現實解構線,兩根糾纏的熱狗.png,,比較沒什麼意義。,"「我不參與排名，我只參與開心。」
「這有什麼好比的？」
「沒有那種世俗的慾望。」"
銀河漫遊線,腦袋裡裝了一個宇宙的熱狗.png,,宇宙的盡頭是飛天熱狗。,"「這個世界欠我一根熱狗。」
「不懂這和熱狗有什麼關係，但這不是我該考慮的。」"
